Gene,Transcript ID,Global Frequency,Present in Transcripts,Sum or Abundance RPKM,Mean,SD
CTSL,ENST00000342020,1,CTSL_ENST00000342020,0.00,48.00,4.32
DDB1,ENST00000451943,3,DDB1_ENST00000451943-DDB1_ENST00000681815-DDB1_ENST00000680345,2.03,54.23,6.06
TFRC,ENST00000698278,2,TFRC_ENST00000698279-TFRC_ENST00000698278,2.63,28.98,5.00
TCF7L2,ENST00000355717,2,TCF7L2_ENST00000355717-TCF7L2_ENST00000346198,6.42,50.98,7.15
ACTB,ENST00000480301,2,ACTB_ENST00000477812-ACTB_ENST00000480301,12.26,70.64,6.16
GLA,ENST00000674127,2,GLA_ENST00000493905-GLA_ENST00000674127,0.69,40.88,4.95
ACTN3,ENST00000513398,1,ACTN3_ENST00000513398,0.00,57.27,7.50
CHRNA7,ENST00000635883,1,CHRNA7_ENST00000635883,0.00,49.00,4.90
TNFSF12,ENST00000650738,2,TNFSF12_ENST00000650738-TNFSF12_ENST00000700051,0.00,58.00,7.79
B2M,ENST00000623550,1,B2M_ENST00000623550,16.65,24.64,5.06
DNMT3B,ENST00000696234,1,DNMT3B_ENST00000696234,0.00,45.00,14.14
C4B,ENST00000487749,8,C4A_ENST00000491185-C4A_ENST00000460841-C4B_ENST00000472275-C4B_ENST00000487749-C4B_ENST00000461632-C4B_ENST00000466356-C4A_ENST00000471317-C4A_ENST00000467619,0.68,,Fitting failed: Negative mean or mean not greater than standard deviation
COL4A1,ENST00000648989,1,COL4A1_ENST00000648989,0.26,51.78,6.71
NCOA1,ENST00000496333,1,NCOA1_ENST00000496333,0.16,88.42,3.85
MUC4,ENST00000625485,13,MUC4_ENST00000625485-MUC4_ENST00000629076-MUC4_ENST00000618077-MUC4_ENST00000628685-MUC4_ENST00000627062-MUC4_ENST00000631360-MUC4_ENST00000627557-MUC4_ENST00000628330-MUC4_ENST00000625238-MUC4_ENST00000629001-MUC4_ENST00000627791-MUC4_ENST00000629594-MUC4_ENST00000626248,69.05,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
FANCA,ENST00000696293,1,FANCA_ENST00000696293,0.00,39.00,3.74
DDR1,ENST00000465966,9,DDR1_ENST00000465966-DDR1_ENST00000482283-DDR1_ENST00000482588-DDR1_ENST00000492995-DDR1_ENST00000446312-DDR1_ENST00000513514-DDR1_ENST00000552434-DDR1_ENST00000548693-DDR1_ENST00000550666,0.46,64.88,1.70
DAPK1,ENST00000496522,2,DAPK1_ENST00000496522-DAPK1_ENST00000622514,0.00,65.00,3.74
LTA,ENST00000456789,6,LTA_ENST00000400272-LTA_ENST00000426845-LTA_ENST00000432632-LTA_ENST00000436519-LTA_ENST00000456789-LTA_ENST00000454783,0.00,68.00,3.16
ATG16L1,ENST00000444735,4,ATG16L1_ENST00000392018-ATG16L1_ENST00000444735-ATG16L1_ENST00000627513-ATG16L1_ENST00000626639,0.08,50.19,0.28
NLRP3,ENST00000697350,2,NLRP3_ENST00000391828-NLRP3_ENST00000697350,0.36,51.98,2.46
TNNI3,ENST00000590463,1,TNNI3_ENST00000590463,0.00,70.00,4.32
TUG1,ENST00000646496,2,TUG1_ENST00000602971-TUG1_ENST00000646496,0.00,58.00,7.79
DDR1,ENST00000513749,2,DDR1_ENST00000503628-DDR1_ENST00000513749,0.43,51.31,1.61
KDM1A,ENST00000688943,1,KDM1A_ENST00000688943,0.76,39.60,5.24
ANGPT2,ENST00000523120,1,ANGPT2_ENST00000523120,0.14,40.54,3.11
ITGAL,ENST00000356798,2,ITGAL_ENST00000356798-ITGAL_ENST00000677830,2.17,63.55,1.11
SLC16A1,ENST00000458229,1,SLC16A1_ENST00000458229,0.13,67.57,1.93
ATG5,ENST00000613993,1,ATG5_ENST00000613993,0.28,40.48,1.56
VCAN,ENST00000503923,1,VCAN_ENST00000503923,0.15,40.03,0.29
GRIN2B,ENST00000636855,1,GRIN2B_ENST00000636855,0.00,48.00,4.32
DYSF,ENST00000475076,3,DYSF_ENST00000475076-DYSF_ENST00000698059-DYSF_ENST00000698058,0.00,54.00,5.48
TCF3,ENST00000610756,1,TCF3_ENST00000610756,0.68,,Fitting failed: Negative mean or mean not greater than standard deviation
PKD1,ENST00000485120,1,PKD1_ENST00000485120,0.88,63.79,4.42
HDAC6,ENST00000697553,6,HDAC6_ENST00000441703-HDAC6_ENST00000643374-HDAC6_ENST00000643659-HDAC6_ENST00000697328-HDAC6_ENST00000697553-HDAC6_ENST00000697552,0.40,,Below k-mer threshold: no fitting performed
CTSB,ENST00000678615,1,CTSB_ENST00000678615,0.00,38.00,4.32
FAS,ENST00000696744,2,FAS_ENST00000696744-FAS_ENST00000696769,0.00,48.00,6.63
CDC42,ENST00000651171,1,CDC42_ENST00000651171,2.55,54.53,2.11
PROM1,ENST00000508167,1,PROM1_ENST00000508167,0.12,76.71,1.32
CSF1,ENST00000369802,1,CSF1_ENST00000369802,0.63,42.51,10.28
VEGFA,ENST00000512683,1,VEGFA_ENST00000512683,0.73,,Fitting failed: Negative mean or mean not greater than standard deviation
FGFR1,ENST00000674217,1,FGFR1_ENST00000674217,0.00,58.00,6.63
